HEADER INFORMATION (all units in Statoil default) 
----------------------------------------------------------------
COMPANY: Statoil Norway
FIELD: SLEIPNER
WELL NAME: F-10
WELLBORE NAME: NO 15/9-F-10
Drilled From: Well Ref. Point
Kick Off Depth: 1381.60m
Survey Name: F10 Rev 5.1 280409
Survey Date: 01.01.1990
Extraction Date: 11.04.2018
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: Rotary Table(54.90m)
----------------------------------------------------------------
Surface EW: 435052.248m
Surface NS: 6478559.613m
Surface Latitude: 58° 26' 29.6816 N
Surface Longitude: 1° 53' 15.0698 E
Bottom Hole MD: 5413.67m
Bottom Hole TVD: 3065.94m
Bottom Hole EW: 438039.045m
Bottom Hole NS: 6476491.728m
----------------------------------------------------------------
Survey Program:  
H  150 - 260 26" CONTINUOUS WIRELINE GYRO TO SB : KEEPER, CONT
H  267 - 683 26" GYROMWD SURVEY : KEEPER, STAT
H  709 - 1382 26"MWD SURVEY : MAGNETIC, STD, NON-MAG
H  1382 - 5414 F10 REV 5.1 280409 : MAGNETIC, STD, NON-MAG
----------------------------------------------------------------
Water Depth: 91.00m
KB-WH: 145.90m
KB-MSL: 54.90m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
Vertical Section Direction: 124.70deg
----------------------------------------------------------------
SURVEY LIST
MD        Inc       Azim      TVD       X-Offset (E/W)  Y-Offset (N/S)  UTM E/W         UTM N/S         DLS
m RKB     deg       deg       m RKB     m               m               m               m               deg/30m
2850.00   50.60     124.64    2456.72   1021.342        -667.408        436071.007      6477896.347     2.04      
2880.00   52.60     124.12    2475.35   1040.745        -680.683        436090.404      6477883.077     2.04      
2910.00   54.60     123.62    2493.15   1060.793        -694.138        436110.444      6477869.627     2.04      
2940.00   56.60     123.15    2510.10   1081.460        -707.758        436131.104      6477856.012     2.04      
2970.00   58.60     122.70    2526.18   1102.719        -721.524        436152.356      6477842.250     2.04      
3000.00   60.60     122.27    2541.36   1124.545        -735.419        436174.174      6477828.360     2.04      
3030.00   62.60     121.86    2555.63   1146.908        -749.427        436196.530      6477814.357     2.04      
3060.00   64.61     121.46    2568.96   1169.782        -763.528        436219.396      6477800.261     2.04      
3090.00   66.61     121.07    2581.35   1193.137        -777.706        436242.742      6477786.088     2.04      
3120.00   68.62     120.69    2592.77   1216.944        -791.942        436266.541      6477771.857     2.04      
3150.00   70.63     120.33    2603.22   1241.172        -806.219        436290.760      6477757.585     2.04      
3180.00   72.64     119.97    2612.67   1265.791        -820.518        436315.371      6477743.291     2.04      
3210.00   74.65     119.62    2621.12   1290.770        -834.821        436340.341      6477728.993     2.04      
3240.00   76.66     119.28    2628.55   1316.077        -849.110        436365.640      6477714.709     2.04      
3264.97   78.33     119.00    2633.96   1337.370        -860.981        436386.925      6477702.842     2.04      
3270.00   78.64     119.14    2634.96   1341.676        -863.375        436391.230      6477700.449     2.00      
3300.00   80.46     119.98    2640.41   1367.336        -877.930        436416.881      6477685.899     2.00      
3330.00   82.28     120.81    2644.91   1392.918        -892.936        436442.454      6477670.898     2.00      
3360.00   84.11     121.63    2648.46   1418.391        -908.377        436467.918      6477655.463     2.00      
3391.88   86.05     122.50    2651.20   1445.304        -925.238        436494.821      6477638.607     2.00      
3420.00   86.05     122.50    2653.14   1468.965        -940.313        436518.474      6477623.537     0.00      
3450.00   86.05     122.50    2655.21   1494.206        -956.394        436543.706      6477607.462     0.00      
3480.00   86.05     122.50    2657.27   1519.447        -972.476        436568.939      6477591.386     0.00      
3510.00   86.05     122.50    2659.34   1544.688        -988.557        436594.171      6477575.310     0.00      
3540.00   86.05     122.50    2661.41   1569.929        -1004.639       436619.403      6477559.234     0.00      
3570.00   86.05     122.50    2663.48   1595.170        -1020.720       436644.636      6477543.158     0.00      
3600.00   86.05     122.50    2665.54   1620.411        -1036.801       436669.868      6477527.083     0.00      
3630.00   86.05     122.50    2667.61   1645.652        -1052.883       436695.100      6477511.007     0.00      
3660.00   86.05     122.50    2669.68   1670.894        -1068.964       436720.332      6477494.931     0.00      
3690.00   86.05     122.50    2671.75   1696.135        -1085.046       436745.565      6477478.855     0.00      
3720.00   86.05     122.50    2673.82   1721.376        -1101.127       436770.797      6477462.779     0.00      
3750.00   86.05     122.50    2675.88   1746.617        -1117.208       436796.029      6477446.704     0.00      
3780.00   86.05     122.50    2677.95   1771.858        -1133.290       436821.262      6477430.628     0.00      
3810.00   86.05     122.50    2680.02   1797.099        -1149.371       436846.494      6477414.552     0.00      
3840.00   86.05     122.50    2682.09   1822.340        -1165.453       436871.726      6477398.476     0.00      
3870.00   86.05     122.50    2684.15   1847.581        -1181.534       436896.959      6477382.400     0.00      
3900.00   86.05     122.50    2686.22   1872.822        -1197.615       436922.191      6477366.325     0.00      
3930.00   86.05     122.50    2688.29   1898.063        -1213.697       436947.423      6477350.249     0.00      
3960.00   86.05     122.50    2690.36   1923.304        -1229.778       436972.656      6477334.173     0.00      
